warn  2021-10-05 12:24:42: `permit_join` set to  `true` in configuration.yaml.
warn  2021-10-05 12:24:42: Allowing new devices to join.
warn  2021-10-05 12:24:42: Set `permit_join` to `false` once you joined all devices.
error 2021-10-06 02:25:33: No converter available for 'lamp' (lampBedroom)
error 2021-10-06 02:25:33: No converter available for 'lamp' (lampBedroom)
error 2021-10-06 02:25:33: No converter available for 'lamp' (lampBedroom)
error 2021-10-06 02:25:34: No converter available for 'lamp' (lampBedroom)
error 2021-10-06 02:25:35: No converter available for 'lamp' (lampkitchen)
error 2021-10-06 02:25:35: No converter available for 'lamp' (lampkitchen)
error 2021-10-06 02:25:35: No converter available for 'lamp' (lampkitchen)
error 2021-10-06 02:25:36: No converter available for 'lamp' (lampLiving)
error 2021-10-06 02:25:36: No converter available for 'lamp' (lampLiving)
error 2021-10-06 02:25:36: No converter available for 'lamp' (lampLiving)
error 2021-10-06 02:25:36: No converter available for 'lamp' (lampLiving)
error 2021-10-06 02:28:58: No converter available for 'lamp' (lampkitchen)
error 2021-10-06 02:28:58: No converter available for 'lamp' (lampkitchen)
error 2021-10-06 02:28:58: No converter available for 'lamp' (lampkitchen)
error 2021-10-06 02:28:59: No converter available for 'lamp' (lampkitchen)
error 2021-10-06 02:30:39: No converter available for 'lamp' (lampkitchen)
error 2021-10-06 02:30:40: No converter available for 'lamp' (lampBedroom)
error 2021-10-06 02:30:41: No converter available for 'lamp' (lampBedroom)
error 2021-10-06 02:30:41: No converter available for 'lamp' (lampBedroom)
error 2021-10-06 02:30:43: No converter available for 'lamp' (lampLiving)
error 2021-10-06 02:30:43: No converter available for 'lamp' (lampLiving)
error 2021-10-06 02:30:43: No converter available for 'lamp' (lampLiving)
error 2021-10-06 02:30:46: No converter available for 'lamp' (lampkitchen)
error 2021-10-06 02:30:46: No converter available for 'lamp' (lampkitchen)
error 2021-10-06 02:30:46: No converter available for 'lamp' (lampkitchen)
error 2021-10-06 02:30:50: No converter available for 'lamp' (lampBedroom)
error 2021-10-06 02:30:51: No converter available for 'lamp' (lampBedroom)
error 2021-10-06 02:30:52: No converter available for 'lamp' (lampBedroom)
error 2021-10-06 02:30:57: No converter available for 'lamp' (lampBedroom)
error 2021-10-06 19:59:53: No converter available for 'lamp' (lampBedroom)
