warn  2021-10-10 18:39:15: `permit_join` set to  `true` in configuration.yaml.
warn  2021-10-10 18:39:15: Allowing new devices to join.
warn  2021-10-10 18:39:15: Set `permit_join` to `false` once you joined all devices.
error 2021-10-11 04:21:45: No converter available for 'lamp' (lampLiving)
error 2021-10-11 04:21:54: No converter available for 'lamp' (lampLiving)
error 2021-10-11 04:22:04: No converter available for 'lamp' (lampLiving)
error 2021-10-11 04:22:14: No converter available for 'lamp' (lampLiving)
error 2021-10-11 04:22:24: No converter available for 'lamp' (lampLiving)
error 2021-10-11 04:22:34: No converter available for 'lamp' (lampLiving)
error 2021-10-11 04:22:44: No converter available for 'lamp' (lampLiving)
error 2021-10-11 04:22:54: No converter available for 'lamp' (lampLiving)
error 2021-10-11 04:23:04: No converter available for 'lamp' (lampLiving)
error 2021-10-11 04:23:14: No converter available for 'lamp' (lampLiving)
error 2021-10-11 04:23:24: No converter available for 'lamp' (lampLiving)
error 2021-10-11 04:23:34: No converter available for 'lamp' (lampLiving)
error 2021-10-11 04:23:44: No converter available for 'lamp' (lampLiving)
error 2021-10-11 04:23:54: No converter available for 'lamp' (lampLiving)
error 2021-10-11 04:24:04: No converter available for 'lamp' (lampLiving)
error 2021-10-11 04:24:14: No converter available for 'lamp' (lampLiving)
error 2021-10-11 04:24:24: No converter available for 'lamp' (lampLiving)
error 2021-10-11 04:24:34: No converter available for 'lamp' (lampLiving)
error 2021-10-11 04:24:44: No converter available for 'lamp' (lampLiving)
error 2021-10-11 04:24:54: Publish 'set' 'brightness' to 'Lamp Living' failed: 'Error: Brightness value of message: '{"state":"ON","brightness":-42,"lamp":"lampLiving"}' invalid, must be a number >= 0 and =< 254'
error 2021-10-11 04:24:54: No converter available for 'lamp' (lampLiving)
error 2021-10-11 04:25:04: Publish 'set' 'brightness' to 'Lamp Living' failed: 'Error: Brightness value of message: '{"state":"ON","brightness":-25,"lamp":"lampLiving"}' invalid, must be a number >= 0 and =< 254'
error 2021-10-11 04:25:04: No converter available for 'lamp' (lampLiving)
error 2021-10-11 04:25:14: Publish 'set' 'brightness' to 'Lamp Living' failed: 'Error: Brightness value of message: '{"state":"ON","brightness":-8,"lamp":"lampLiving"}' invalid, must be a number >= 0 and =< 254'
error 2021-10-11 04:25:14: No converter available for 'lamp' (lampLiving)
error 2021-10-11 04:25:24: No converter available for 'lamp' (lampLiving)
error 2021-10-11 04:25:34: No converter available for 'lamp' (lampLiving)
error 2021-10-11 04:25:44: No converter available for 'lamp' (lampLiving)
error 2021-10-11 04:25:54: No converter available for 'lamp' (lampLiving)
error 2021-10-11 04:26:04: No converter available for 'lamp' (lampLiving)
error 2021-10-11 04:26:14: No converter available for 'lamp' (lampLiving)
error 2021-10-11 04:26:24: No converter available for 'lamp' (lampLiving)
error 2021-10-11 04:26:34: No converter available for 'lamp' (lampLiving)
error 2021-10-11 04:26:44: No converter available for 'lamp' (lampLiving)
error 2021-10-11 04:26:54: No converter available for 'lamp' (lampLiving)
