warn  2021-10-25 19:55:16: `permit_join` set to  `true` in configuration.yaml.
error 2021-10-26 19:23:05: No converter available for 'linkquality' (39)
error 2021-10-26 19:23:05: No converter available for 'battery' (74)
error 2021-10-26 19:23:05: No converter available for 'action' (toggle_hold)
error 2021-10-26 19:23:05: No converter available for 'lamp' (lampAll)
error 2021-10-26 19:23:05: No converter available for 'update_available' (false)
error 2021-10-26 19:23:05: No converter available for 'update' ([object Object])
error 2021-10-26 19:23:05: No converter available for 'linkquality' (39)
error 2021-10-26 19:23:05: No converter available for 'battery' (74)
error 2021-10-26 19:23:05: No converter available for 'action' (toggle_hold)
error 2021-10-26 19:25:55: No converter available for 'action' (toggle)
error 2021-10-26 19:25:55: No converter available for 'battery' (74)
error 2021-10-26 19:25:55: No converter available for 'linkquality' (39)
error 2021-10-26 19:25:55: No converter available for 'update' ([object Object])
error 2021-10-26 19:25:55: No converter available for 'update_available' (false)
error 2021-10-26 19:25:55: No converter available for 'lamp' (lampkitchen)
error 2021-10-26 19:26:03: No converter available for 'lamp' (lampkitchen)
error 2021-10-26 19:26:03: No converter available for 'update_available' (false)
error 2021-10-26 19:26:03: No converter available for 'update' ([object Object])
error 2021-10-26 19:26:03: No converter available for 'linkquality' (44)
error 2021-10-26 19:26:03: No converter available for 'battery' (74)
error 2021-10-26 19:26:03: No converter available for 'action' (toggle)
error 2021-10-26 19:26:04: No converter available for 'lamp' (lampBedroom)
error 2021-10-26 19:26:05: No converter available for 'lamp' (lampBedroom)
error 2021-10-26 19:26:05: No converter available for 'lamp' (lampBedroom)
error 2021-10-26 19:26:06: No converter available for 'lamp' (lampLiving)
error 2021-10-26 19:26:06: No converter available for 'lamp' (lampLiving)
error 2021-10-26 19:26:06: No converter available for 'lamp' (lampLiving)
error 2021-10-26 19:26:07: No converter available for 'action' (toggle)
error 2021-10-26 19:26:07: No converter available for 'battery' (74)
error 2021-10-26 19:26:07: No converter available for 'linkquality' (44)
error 2021-10-26 19:26:07: No converter available for 'update' ([object Object])
error 2021-10-26 19:26:07: No converter available for 'update_available' (false)
error 2021-10-26 19:26:07: No converter available for 'lamp' (lampLiving)
error 2021-10-26 19:28:27: No converter available for 'lamp' (lampLiving)
error 2021-10-26 19:28:27: No converter available for 'update_available' (false)
error 2021-10-26 19:28:27: No converter available for 'update' ([object Object])
error 2021-10-26 19:28:27: No converter available for 'linkquality' (34)
error 2021-10-26 19:28:27: No converter available for 'battery' (74)
error 2021-10-26 19:28:27: No converter available for 'action' (toggle)
error 2021-10-26 19:28:27: No converter available for 'action' (toggle)
error 2021-10-26 19:28:27: No converter available for 'battery' (74)
error 2021-10-26 19:28:27: No converter available for 'linkquality' (31)
error 2021-10-26 19:28:27: No converter available for 'update' ([object Object])
error 2021-10-26 19:28:27: No converter available for 'update_available' (false)
error 2021-10-26 19:28:27: No converter available for 'lamp' (lampLiving)
error 2021-10-26 19:29:27: No converter available for 'action' (toggle)
error 2021-10-26 19:29:27: No converter available for 'battery' (74)
error 2021-10-26 19:29:27: No converter available for 'linkquality' (34)
error 2021-10-26 19:29:27: No converter available for 'update' ([object Object])
error 2021-10-26 19:29:27: No converter available for 'update_available' (false)
error 2021-10-26 19:29:27: No converter available for 'lamp' (lampLiving)
error 2021-10-26 19:29:30: No converter available for 'lamp' (lampLiving)
error 2021-10-26 19:29:30: No converter available for 'update_available' (false)
error 2021-10-26 19:29:30: No converter available for 'update' ([object Object])
error 2021-10-26 19:29:30: No converter available for 'linkquality' (34)
error 2021-10-26 19:29:30: No converter available for 'battery' (74)
error 2021-10-26 19:29:30: No converter available for 'action' (toggle)
error 2021-10-26 19:29:32: No converter available for 'action' (toggle)
error 2021-10-26 19:29:32: No converter available for 'battery' (74)
error 2021-10-26 19:29:32: No converter available for 'linkquality' (31)
error 2021-10-26 19:29:32: No converter available for 'update' ([object Object])
error 2021-10-26 19:29:32: No converter available for 'update_available' (false)
error 2021-10-26 19:29:32: No converter available for 'lamp' (lampLiving)
error 2021-10-26 19:29:33: No converter available for 'lamp' (lampLiving)
error 2021-10-26 19:29:33: No converter available for 'update_available' (false)
error 2021-10-26 19:29:33: No converter available for 'update' ([object Object])
error 2021-10-26 19:29:33: No converter available for 'linkquality' (31)
error 2021-10-26 19:29:33: No converter available for 'battery' (74)
error 2021-10-26 19:29:33: No converter available for 'action' (toggle)
error 2021-10-26 19:29:34: No converter available for 'action' (toggle)
error 2021-10-26 19:29:34: No converter available for 'battery' (74)
error 2021-10-26 19:29:34: No converter available for 'linkquality' (31)
error 2021-10-26 19:29:34: No converter available for 'update' ([object Object])
error 2021-10-26 19:29:34: No converter available for 'update_available' (false)
error 2021-10-26 19:29:34: No converter available for 'lamp' (lampLiving)
error 2021-10-26 19:30:31: No converter available for 'lamp' (lampLiving)
error 2021-10-26 19:30:31: No converter available for 'update_available' (false)
error 2021-10-26 19:30:31: No converter available for 'update' ([object Object])
error 2021-10-26 19:30:31: No converter available for 'linkquality' (31)
error 2021-10-26 19:30:31: No converter available for 'battery' (74)
error 2021-10-26 19:30:31: No converter available for 'action' (toggle)
error 2021-10-26 19:30:35: No converter available for 'action' (toggle)
error 2021-10-26 19:30:35: No converter available for 'battery' (74)
error 2021-10-26 19:30:35: No converter available for 'linkquality' (31)
error 2021-10-26 19:30:35: No converter available for 'update' ([object Object])
error 2021-10-26 19:30:35: No converter available for 'update_available' (false)
error 2021-10-26 19:30:35: No converter available for 'lamp' (lampLiving)
error 2021-10-26 19:32:54: No converter available for 'lamp' (lampLiving)
error 2021-10-26 19:32:54: No converter available for 'update_available' (false)
error 2021-10-26 19:32:54: No converter available for 'update' ([object Object])
error 2021-10-26 19:32:54: No converter available for 'linkquality' (28)
error 2021-10-26 19:32:54: No converter available for 'battery' (74)
error 2021-10-26 19:32:54: No converter available for 'action' (toggle)
error 2021-10-26 19:32:55: No converter available for 'action' (toggle)
error 2021-10-26 19:32:55: No converter available for 'battery' (74)
error 2021-10-26 19:32:55: No converter available for 'linkquality' (28)
error 2021-10-26 19:32:55: No converter available for 'update' ([object Object])
error 2021-10-26 19:32:55: No converter available for 'update_available' (false)
error 2021-10-26 19:32:55: No converter available for 'lamp' (lampLiving)
error 2021-10-26 19:35:00: No converter available for 'lamp' (lampLiving)
error 2021-10-26 19:35:00: No converter available for 'update_available' (false)
error 2021-10-26 19:35:00: No converter available for 'update' ([object Object])
error 2021-10-26 19:35:00: No converter available for 'linkquality' (36)
error 2021-10-26 19:35:00: No converter available for 'battery' (74)
error 2021-10-26 19:35:00: No converter available for 'action' (toggle)
error 2021-10-26 19:35:02: No converter available for 'action' (toggle)
error 2021-10-26 19:35:02: No converter available for 'battery' (74)
error 2021-10-26 19:35:02: No converter available for 'linkquality' (21)
error 2021-10-26 19:35:02: No converter available for 'update' ([object Object])
error 2021-10-26 19:35:02: No converter available for 'update_available' (false)
error 2021-10-26 19:35:02: No converter available for 'lamp' (lampLiving)
error 2021-10-26 19:35:11: No converter available for 'lamp' (lampLiving)
error 2021-10-26 19:35:11: No converter available for 'update_available' (false)
error 2021-10-26 19:35:11: No converter available for 'update' ([object Object])
error 2021-10-26 19:35:11: No converter available for 'linkquality' (34)
error 2021-10-26 19:35:11: No converter available for 'battery' (74)
error 2021-10-26 19:35:11: No converter available for 'action' (toggle)
error 2021-10-26 19:35:13: No converter available for 'action' (toggle)
error 2021-10-26 19:35:13: No converter available for 'battery' (74)
error 2021-10-26 19:35:13: No converter available for 'linkquality' (31)
error 2021-10-26 19:35:13: No converter available for 'update' ([object Object])
error 2021-10-26 19:35:13: No converter available for 'update_available' (false)
error 2021-10-26 19:35:13: No converter available for 'lamp' (lampLiving)
error 2021-10-26 19:36:26: No converter available for 'lamp' (lampLiving)
error 2021-10-26 19:36:26: No converter available for 'update_available' (false)
error 2021-10-26 19:36:26: No converter available for 'update' ([object Object])
error 2021-10-26 19:36:26: No converter available for 'linkquality' (36)
error 2021-10-26 19:36:26: No converter available for 'battery' (74)
error 2021-10-26 19:36:26: No converter available for 'action' (toggle)
error 2021-10-26 19:36:28: No converter available for 'action' (toggle)
error 2021-10-26 19:36:28: No converter available for 'battery' (74)
error 2021-10-26 19:36:28: No converter available for 'linkquality' (36)
error 2021-10-26 19:36:28: No converter available for 'update' ([object Object])
error 2021-10-26 19:36:28: No converter available for 'update_available' (false)
error 2021-10-26 19:36:28: No converter available for 'lamp' (lampLiving)
error 2021-10-26 19:41:39: No converter available for 'lamp' (lampLiving)
error 2021-10-26 19:41:39: No converter available for 'update_available' (false)
error 2021-10-26 19:41:39: No converter available for 'update' ([object Object])
error 2021-10-26 19:41:39: No converter available for 'linkquality' (26)
error 2021-10-26 19:41:39: No converter available for 'battery' (74)
error 2021-10-26 19:41:39: No converter available for 'action' (toggle)
error 2021-10-26 19:41:40: No converter available for 'action' (toggle)
error 2021-10-26 19:41:40: No converter available for 'battery' (74)
error 2021-10-26 19:41:40: No converter available for 'linkquality' (28)
error 2021-10-26 19:41:40: No converter available for 'update' ([object Object])
error 2021-10-26 19:41:40: No converter available for 'update_available' (false)
error 2021-10-26 19:41:40: No converter available for 'lamp' (lampLiving)
error 2021-10-26 19:41:54: No converter available for 'lamp' (lampLiving)
error 2021-10-26 19:41:54: No converter available for 'update_available' (false)
error 2021-10-26 19:41:54: No converter available for 'update' ([object Object])
error 2021-10-26 19:41:54: No converter available for 'linkquality' (34)
error 2021-10-26 19:41:54: No converter available for 'battery' (74)
error 2021-10-26 19:41:54: No converter available for 'action' (toggle)
error 2021-10-26 19:41:55: No converter available for 'action' (toggle)
error 2021-10-26 19:41:55: No converter available for 'battery' (74)
error 2021-10-26 19:41:55: No converter available for 'linkquality' (34)
error 2021-10-26 19:41:55: No converter available for 'update' ([object Object])
error 2021-10-26 19:41:55: No converter available for 'update_available' (false)
error 2021-10-26 19:41:55: No converter available for 'lamp' (lampLiving)
error 2021-10-26 19:43:42: No converter available for 'lamp' (lampLiving)
error 2021-10-26 19:43:42: No converter available for 'update_available' (false)
error 2021-10-26 19:43:42: No converter available for 'update' ([object Object])
error 2021-10-26 19:43:42: No converter available for 'linkquality' (113)
error 2021-10-26 19:43:42: No converter available for 'battery' (74)
error 2021-10-26 19:43:42: No converter available for 'action' (toggle)
error 2021-10-26 19:43:48: No converter available for 'action' (toggle)
error 2021-10-26 19:43:48: No converter available for 'battery' (74)
error 2021-10-26 19:43:48: No converter available for 'linkquality' (44)
error 2021-10-26 19:43:48: No converter available for 'update' ([object Object])
error 2021-10-26 19:43:48: No converter available for 'update_available' (false)
error 2021-10-26 19:43:48: No converter available for 'lamp' (lampLiving)
error 2021-10-26 19:43:52: No converter available for 'lamp' (lampLiving)
error 2021-10-26 19:43:52: No converter available for 'update_available' (false)
error 2021-10-26 19:43:52: No converter available for 'update' ([object Object])
error 2021-10-26 19:43:52: No converter available for 'linkquality' (44)
error 2021-10-26 19:43:52: No converter available for 'battery' (74)
error 2021-10-26 19:43:52: No converter available for 'action' (toggle)
error 2021-10-26 19:43:53: No converter available for 'action' (toggle)
